"texto","clasificacion"
"Tenemos una reunión importante mañana.",0
"¿Cuándo es la próxima reunión?",1
"¿Puedes confirmar tu asistencia al evento?",2
"El evento empezará a las 9:00 AM.",3
"Es crucial completar este informe antes del viernes.",0
"¿Dónde se realizará la conferencia?",1
"¿Estás de acuerdo con el plan presentado?",2
"La conferencia se llevará a cabo en el salón principal.",3
"Es esencial revisar todos los detalles del proyecto.",0
"¿Cuál es el próximo paso en el proyecto?",1
"¿Podrías confirmar si los datos son correctos?",2
"La próxima fase del proyecto comenzará en junio.",3
"Es fundamental que el equipo esté preparado para la entrega.",0
"¿Quién es el responsable de esta tarea?",1
"¿Puedes confirmar la fecha de entrega final?",2
"La tarea debe completarse antes de fin de mes.",3
